Title,Acronym,sourceAccessedOn,AberOWL,AgroPortal,BARTOC ,BioPortal ,Bioregistry ,NERC ,EcoPortal ,FAIRsharing ,LOTERRE ,LOV ,MMI-ORR ,Ontobee ,OBO-Foundry ,OLS ,ARDC 
Pigeonpea Ontology,CO_341,07-07-2023,,2022,,,2019,,,Not specified,,,,,,2019,
Potato Ontology,CO_330,07-07-2023,,2022,,,2019,,,Not specified,,,,,,2019,
Rice Ontology,CO_320,07-07-2023,,2022,,,,,,Not specified,,,,,,2019,
Sorghum Ontology,CO_324,07-07-2023,,2022,,,2019,,,Not specified,,,,,,2019,
Soybean Ontology,CO_336,07-07-2023,,2015,,,2015,,,Not specified,,,,,,Not specified,
Sunflower Ontology,CO_359,07-07-2023,,2019,,,2019,,,,,,,,,Not specified,
Sweet Potato Ontology,CO_331,07-07-2023,,2022,,,2019,,,Not specified,,,,,,Not specified,
Vitis Ontology,CO_356,07-07-2023,,2021,,,2019,,,Not specified,,,,,,2019,
Woody Plant Ontology,CO_357,07-07-2023,,2022,,,2020,,,Not specified,,,,,,Not specified,
Wheat Ontology,CO_321,07-07-2023,,2022,,,2019,,,Not specified,,,,,,2019,
Yam Ontology,CO_343,07-07-2023,,2022,,,2019,,,Not specified,,,,,,2019,
Fungal gross anatomy,FAO,06-07-2023,2020,,,,2020,,,,,,,2020,2020,2020,
Drosophila gross anatomy,FBBT,06-07-2023,2023,,,2023,2023,,,Not specified,,,,2023,2023,2022,
Drosophila development,FBDV,06-07-2023,2023,,,2023,2023,,,Not specified,,,,2023,1905-07-15,2022,
Mouse adult gross anatomy,MA,06-07-2023,2017,,,2017,2017,,,Not specified,,,,2017,1905-07-09,2017,
Mouse developmental stages,MMUSDV,06-07-2023,2020,,,2018,2020,,,2020,,,,2020,1905-07-12,2020,
Platynereis Developmental Stages,PDUMDV,06-07-2023,2020,,,2020,2020,,,Not specified,,,,2020,2020,2020,
Mode of Collection,,06-07-2023,,,2017,,,,,,,,,,,,3
AODN Sampling Parameter Vocabulary,AODN Sampling Parameters,06-07-2023,,,2017,,,,,,,,,,,,1
AODN Platform Vocabulary,AODN Platforms,06-07-2023,,,2017,,,,,,,,,,,,5.2
AODN Parameter Category Vocabulary,AODN Parameter Categories,06-07-2023,,,2017,,,,,,,,,,,,2
Stratigraphic Rank,,07-07-2023,,,2017,,,,,,,,,,,,2021-07-16
Processing Activity,,07-07-2023,,,2017,,,,,,,,,,,,2021-07-16
Particle Type,,07-07-2023,,,2017,,,,,,,,,,,,2021-07-16
Anatomical Entity Ontology,AEO,06-07-2023,Not specified,,Not specified,2014,2014,,,Not specified,,,,2014,1905-07-06,2014,
BODC parameter semantic model biological entity names,S25,06-07-2023,,,,,,160,,,,,,,,,156
C. elegans Gross Anatomy Ontology,WB-BT,06-07-2023,2023,,,2023,2023,,,Not specified,,,,2023,2023,2022,
C. elegans Development Vocabulary,WB-LS,06-07-2023,Not specified,,,2019,2023,,,,,,,2023,2023,2023,
Cell Ontology,CL,06-07-2023,Not specified,,,2023,2023,,,,,,,2023,2023,2022,
Dictyostelium Discoideum Anatomy Ontology,DDANAT,06-07-2023,Not specified,,,2021,2020,,,,,,,2020,2020,2020,
Drosophila Phenotype Ontology,DPO,06-07-2023,Not specified,,,2023,2023,,,,,,,,2023,2022,
Fission Yeast Phenotype Ontology,FYPO,06-07-2023,Not specified,,Not specified,2023,2023,,,,,,,2023,1905-07-15,2022,
Mammalian Feeding Muscle Ontology,MFMO,06-07-2023,Not specified,,,2013,2013,,,,,,,2013,2013,2013,
Neuro Behavior Ontology,NBO,06-07-2023,Not specified,,,2023,2023,,,Not specified,,,,2023,2023,2021,
Planarian Anatomy and Developmental Stage Ontolgy,PLANA,06-07-2023,Not specified,,,2023,2023,,,Not specified,,,,2023,2023,2022,
GeoSpecies Ontology,GEOSPECIES,06-07-2023,,,Not specified,2012,,,,,,2012,,,,,
